tissue_block_id,dataset_id,renal_pyramid,cell_type,x,y,z
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0648372,0.276867,-0.119857
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0524877,0.284289,-0.107422
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0584254,0.285912,-0.113526
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0591431,0.278708,-0.117873
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0538567,0.288052,-0.122003
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0596606,0.277162,-0.121949
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0591377,0.275682,-0.123838
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0540435,0.279047,-0.103696
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0619845,0.278585,-0.113432
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0535052,0.281016,-0.103021
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0461454,0.287048,-0.113686
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0563927,0.285722,-0.122863
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0508349,0.284532,-0.111559
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0604537,0.283333,-0.117575
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0615967,0.263564,-0.118396
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0603529,0.283616,-0.121147
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0616661,0.277811,-0.121902
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0583744,0.279351,-0.11595
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0588934,0.271835,-0.117712
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0622856,0.262566,-0.119947
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0580524,0.283086,-0.115556
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0542352,0.281082,-0.114771
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0583021,0.262519,-0.115223
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0622571,0.280651,-0.116504
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0490671,0.281775,-0.114924
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0570334,0.277328,-0.109839
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0535831,0.288669,-0.120637
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0543779,0.278481,-0.115982
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.059641,0.278625,-0.12291
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.054911,0.283932,-0.119585
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0564751,0.269298,-0.12132
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0636182,0.268505,-0.11756
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0463402,0.285794,-0.113964
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0593595,0.280253,-0.115829
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0551168,0.283717,-0.106939
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.059451,0.271163,-0.120677
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.049966,0.280225,-0.112964
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0581947,0.278481,-0.114054
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0568426,0.283563,-0.118025
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0579183,0.275388,-0.120159
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0586334,0.277848,-0.117146
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0595965,0.282756,-0.119421
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0571295,0.276607,-0.102941
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0584409,0.271492,-0.121425
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0578561,0.274663,-0.102025
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0564884,0.281656,-0.112031
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0600705,0.275223,-0.112575
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0598401,0.268961,-0.11774
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0634497,0.275425,-0.122388
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0611845,0.262969,-0.121854
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0557138,0.283539,-0.112418
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0575453,0.268321,-0.119249
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0652595,0.28229,-0.12215
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0557521,0.280398,-0.117612
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0576777,0.278761,-0.113599
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0517041,0.288865,-0.119509
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.059484,0.267768,-0.122835
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0602792,0.276826,-0.125097
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0558232,0.281685,-0.109736
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0508657,0.28818,-0.115216
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0576647,0.267278,-0.117032
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0532085,0.276915,-0.100066
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0583407,0.27565,-0.102997
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0522856,0.289228,-0.116944
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0582214,0.276623,-0.120903
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0595277,0.280385,-0.112022
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0650737,0.269489,-0.121076
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.059988,0.265411,-0.122839
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0563926,0.281012,-0.118099
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0533562,0.283463,-0.116542
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0531031,0.281036,-0.112559
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0498912,0.287126,-0.115132
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0644528,0.27088,-0.122279
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0571663,0.265679,-0.119984
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0563084,0.281285,-0.115603
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0633521,0.268358,-0.117871
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0631801,0.275443,-0.125055
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0639863,0.272302,-0.125054
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.054412,0.287467,-0.116849
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0528332,0.283898,-0.114242
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0553123,0.283443,-0.121563
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0562614,0.28141,-0.119874
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0519696,0.282152,-0.105319
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.059228,0.261594,-0.118714
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0645217,0.271583,-0.124468
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0629383,0.274552,-0.114753
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0571276,0.286232,-0.114752
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0559752,0.282259,-0.114365
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0573001,0.281484,-0.115954
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0596754,0.267298,-0.119772
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0613565,0.273519,-0.115358
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0644725,0.267971,-0.120792
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0616837,0.279422,-0.11428
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0554975,0.284738,-0.109801
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0559917,0.281221,-0.112745
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0608462,0.268145,-0.11951
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0564659,0.28264,-0.109791
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0601271,0.277835,-0.121045
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0627617,0.273539,-0.120639
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0614089,0.260709,-0.114233
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0561946,0.276151,-0.114623
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0632966,0.275219,-0.121208
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0588677,0.272814,-0.112003
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0643311,0.269814,-0.124178
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0633437,0.27588,-0.114557
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0564363,0.279826,-0.104416
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0522445,0.280098,-0.11454
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0580941,0.277473,-0.117764
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0612823,0.272817,-0.120463
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0568405,0.282035,-0.110161
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.052521,0.279965,-0.104429
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0562229,0.277597,-0.110394
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0538178,0.27947,-0.11084
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.065336,0.279913,-0.120416
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0520655,0.285516,-0.106436
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0615261,0.279641,-0.119847
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.060838,0.276156,-0.108192
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0559505,0.278859,-0.104217
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0579625,0.263955,-0.113672
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.048275,0.289724,-0.115231
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0544416,0.285945,-0.117896
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0589474,0.268903,-0.122977
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0568319,0.266504,-0.119185
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0512772,0.283503,-0.114091
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0547953,0.285477,-0.109813
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0595269,0.277845,-0.121301
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0581012,0.260826,-0.11727
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0602397,0.283143,-0.120963
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0489877,0.28854,-0.114868
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0627159,0.271651,-0.120371
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0613205,0.275437,-0.116583
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0557874,0.276043,-0.11546
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0499245,0.282688,-0.116166
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0573426,0.274199,-0.10405
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0535096,0.278283,-0.117816
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0500109,0.285596,-0.111079
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0573576,0.27294,-0.122014
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0576637,0.284761,-0.116494
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0595225,0.27788,-0.107201
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0607518,0.280714,-0.111046
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0612015,0.263483,-0.114051
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0579693,0.282166,-0.106998
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0634432,0.275846,-0.118456
